Fecha,Chubut,Estado Nacional,Formosa,Jujuy,La Pampa,Mendoza,Neuquen,Rio Negro,Salta,Santa Cruz,Tierra del Fuego
01-ene-23,691375.6275,15394.798,4602.661,868.824,71331.50512,264745.5749,1554112.808,106813.3623,20800.96278,338089.9534,20137.82046
01-feb-23,1309207.406,29315.0718,8500.06,1684.253,139173.0854,514360.9911,2998550.606,203557.1201,38992.9173,645360.0947,38748.35713
01-mar-23,1983490.948,44559.5705,12589.706,2598.201,211914.4072,791772.9424,4636262.49,308477.8628,59053.16492,979001.5413,60881.10964
01-abr-23,2640412.944,58055.4901,16315.786,3453.839,282822.0735,1059792.655,6201018.107,411444.2707,78554.78162,1301433.771,81592.20039
01-may-23,3316405.256,74374.8293,20346.786,4325.369,355603.3211,1334248.139,7813851.729,518354.4843,98387.369,1636491.932,101431.1009
01-jun-23,3968621.698,90545.2496,24205.646,5113.937,426060.5891,1601503.026,9345348.49,618222.6007,117437.7629,1960648.608,119540.5727
01-jul-23,4632996.499,107685.99,27964.566,5971.748,495739.1727,1872285.516,10928877.08,722528.7453,136661.916,2292906.34,137748.1843
01-ago-23,5286515.604,124955.487,31427.656,6828.991,567877.7042,2145444.013,12544703.1,826508.6889,155768.8787,2623675.866,157104.0722
01-sep-23,5936377.692,141798.0068,34728.196,7661.497,634771.7231,2416302.57,14147426.32,926198.9899,174032.6634,2953139.332,177519.2561
01-oct-23,6609128.611,159011.7915,38081.43708,8506.637,703801.9802,2688542.282,15892844.96,1028819.049,191006.0744,3294036.733,198932.3846
01-nov-23,7256318.466,175144.2923,41292.39063,9315.98,768686.8178,2953838.095,17650929.21,1126388.928,208616.6353,3624367.532,217862.0878
01-dic-23,7919768.248,189750.1106,44541.18383,10165.004,834090.6719,3230040.944,19530700.38,1228971.05,225687.4992,3966979.501,236429.0487
01-ene-24,8579895.163,204847.5903,47917.50022,11002.006,896982.3379,3506490.709,21365834.5,1330313.585,241338.2929,4307550.282,255168.6075
